Year,Month,pr_mm_month
1957,1,70.44671936309896
1957,2,64.06538437586278
1957,3,72.09222614765167
1957,4,68.93680075882003
1957,5,73.97870112326927
1957,6,73.01712431944907
1957,7,77.33848270727322
1957,8,76.51594611816108
1957,9,73.23530735448003
1957,10,73.04833297384903
1957,11,69.86199470702559
1957,12,71.03384669171646
1958,1,71.2366575258784
1958,2,63.8789308257401
1958,3,72.65916398609988
1958,4,69.39918792340904
1958,5,73.68228978593834
1958,6,72.65850092517212
1958,7,77.68275638809428
1958,8,76.77049252088182
1958,9,73.11751699307933
1958,10,72.23357206676155
1958,11,69.75825922563672
1958,12,71.63923907792196
1959,1,70.81530423020013
1959,2,64.22886732034385
1959,3,71.19560134015046
1959,4,69.52961871866137
1959,5,74.71891097375192
1959,6,73.91677337000147
1959,7,78.21967795025557
1959,8,77.01017450890504
1959,9,72.749407379888
1959,10,73.18647800129838
1959,11,68.95437760977075
1959,12,70.70545079768635
1960,1,70.1091495284345
1960,2,66.16153354989365
1960,3,71.82116372860037
1960,4,69.13948617875576
1960,5,72.8712608164642
1960,6,73.4880028758198
1960,7,76.78520590416156
1960,8,76.35727056185715
1960,9,73.16188345430419
1960,10,72.90938894147985
1960,11,68.34541610442102
1960,12,71.53128084610216
1961,1,71.50754942558706
1961,2,65.74452684726566
1961,3,70.98993552499451
1961,4,70.35182684194297
1961,5,73.99226959096268
1961,6,74.94787161704153
1961,7,76.64187221671455
1961,8,76.61600686842576
1961,9,73.12551804352552
1961,10,72.42623456404544
1961,11,68.81757237715647
1961,12,71.0508547781501
1962,1,71.7533067741897
1962,2,64.44673603400588
1962,3,72.60935285012238
1962,4,69.98933729482815
1962,5,73.25018402771093
1962,6,74.5227409643121
1962,7,76.70600697747432
1962,8,76.89062583376653
1962,9,72.43106269743294
1962,10,72.00978735345416
1962,11,69.68922010855749
1962,12,71.25964353326708
1963,1,70.66896453034133
1963,2,64.69472176395357
1963,3,69.71916691982187
1963,4,69.81267296941951
1963,5,73.09391523012891
1963,6,73.2931440579705
1963,7,77.30467602959834
1963,8,76.58337921020575
1963,9,72.60335638420656
1963,10,71.44361441605724
1963,11,68.20450426312163
1963,12,69.98688715975732
1964,1,69.57240822957829
1964,2,65.15570815536194
1964,3,71.58843405777588
1964,4,69.71495831385255
1964,5,72.9903076775372
1964,6,72.80473579885438
1964,7,76.82390892296098
1964,8,76.18136280798353
1964,9,72.08603684557602
1964,10,72.13095352635719
1964,11,69.41671291133389
1964,12,69.91058218991384
1965,1,72.37732474459335
1965,2,64.10189531743526
1965,3,72.39933148375712
1965,4,69.97115223202854
1965,5,72.32461477979086
1965,6,72.78681005118415
1965,7,76.32486701477319
1965,8,75.75189766357653
1965,9,71.9142995076254
1965,10,73.17623709677719
1965,11,68.24138830415905
1965,12,71.36428881785832
1966,1,71.07094682869501
1966,2,63.703817361965775
1966,3,71.85024945647456
1966,4,69.90332482382655
1966,5,73.9100792678073
1966,6,72.44198693661019
1966,7,76.59362011472695
1966,8,76.93768917233683
1966,9,71.61265471950173
1966,10,73.37117968127131
1966,11,68.80378152709454
1966,12,72.23161353031173
1967,1,70.26424905052409
1967,2,63.746924651786685
1967,3,71.29385458538309
1967,4,69.72932908684015
1967,5,73.77644082298502
1967,6,72.30996724683791
1967,7,76.27095854259096
1967,8,76.38541112537496
1967,9,71.74846983980387
1967,10,72.94898840482347
1967,11,69.33128979289904
1967,12,71.33735650568269
1968,1,70.28994387947023
1968,2,66.24067731318064
1968,3,71.86364740482531
1968,4,68.72960325563326
1968,5,73.07597659528255
1968,6,73.01751564955339
1968,7,78.05292952107266
1968,8,75.64547897782177
1968,9,71.31853478495032
1968,10,73.2296681148
1968,11,68.11095279408619
1968,12,69.41059998935089
1969,1,70.50059373141266
1969,2,63.751822407357395
1969,3,70.33281244221143
1969,4,69.55823767930269
1969,5,72.97606200445443
1969,6,73.67850991431624
1969,7,77.15203685802408
1969,8,75.49780922709033
1969,9,71.95241411682218
1969,10,72.61878987774253
1969,11,69.10084350965917
1969,12,71.34525885921903
1970,1,70.26571064488962
1970,2,63.34807660896331
1970,3,72.16068722773343
1970,4,69.82843932928517
1970,5,73.82652966189198
1970,6,73.15272727282718
1970,7,77.65535636572167
1970,8,75.770128617296
1970,9,71.10681576887146
1970,10,72.53939119982533
1970,11,68.21291550295427
1970,12,70.35778134595603
1971,1,70.36386645049788
1971,2,64.54124115407467
1971,3,71.9932226173114
1971,4,69.46460134349763
1971,5,73.23872512788512
1971,6,72.59219168918207
1971,7,76.4320359856356
1971,8,76.60145913250744
1971,9,72.04971386818215
1971,10,72.02890500775538
1971,11,70.18224417697638
1971,12,70.86931014200673
1972,1,71.37438356294297
1972,2,64.84444733359851
1972,3,71.17389179184102
1972,4,69.1431118757464
1972,5,72.96624983428046
