Year,Month,tos
1992,7,12.947927
1992,8,13.0899515
1992,9,12.869046
1992,10,12.597652
1992,11,12.461557
1992,12,12.596321
1993,1,12.933507
1993,2,13.13777
1993,3,13.140332
1993,4,12.929168
1993,5,12.743546
1993,6,12.751614
1993,7,12.888344
1993,8,12.981278
1993,9,12.800431
1993,10,12.510599
1993,11,12.418324
1993,12,12.575915
1994,1,12.938096
1994,2,13.228038
1994,3,13.174127
1994,4,12.951034
1994,5,12.752262
1994,6,12.757719
1994,7,12.944544
1994,8,13.079212
1994,9,12.90324
1994,10,12.630509
1994,11,12.523681
1994,12,12.665135
1995,1,13.056643
1995,2,13.2503
1995,3,13.256111
1995,4,13.077264
1995,5,12.902645
1995,6,12.890937
1995,7,13.067949
1995,8,13.207315
1995,9,13.066997
1995,10,12.790362
1995,11,12.695874
1995,12,12.837086
1996,1,13.199324
1996,2,13.427715
1996,3,13.352314
1996,4,13.105899
1996,5,12.930567
1996,6,12.958354
1996,7,13.119902
1996,8,13.198856
1996,9,13.001563
1996,10,12.70079
1996,11,12.566824
1996,12,12.743534
1997,1,13.162347
1997,2,13.388423
1997,3,13.283647
1997,4,13.055562
1997,5,12.849801
1997,6,12.898447
1997,7,13.094042
1997,8,13.237428
1997,9,13.051339
1997,10,12.782807
1997,11,12.6123295
1997,12,12.749959
1998,1,13.176103
1998,2,13.398356
1998,3,13.335078
1998,4,13.132929
1998,5,12.961013
1998,6,12.985159
1998,7,13.172228
1998,8,13.307477
1998,9,13.129409
1998,10,12.825461
1998,11,12.680016
1998,12,12.836014
1999,1,13.171909
1999,2,13.440024
1999,3,13.38309
1999,4,13.192093
1999,5,13.034476
1999,6,13.06404
1999,7,13.320172
1999,8,13.457627
1999,9,13.298802
1999,10,13.0104885
1999,11,12.865555
1999,12,13.055333
2000,1,13.42703
2000,2,13.626206
2000,3,13.559608
2000,4,13.356178
2000,5,13.190077
2000,6,13.213657
2000,7,13.378342
2000,8,13.485277
2000,9,13.296743
2000,10,13.017662
2000,11,12.87543
2000,12,13.085742
2001,1,13.468519
2001,2,13.727112
2001,3,13.630796
2001,4,13.371342
